width:28.67886950535561  height:27.999839999999317
width:29.395181340828163  height:28.00614003857933
width:32.54162363617315  height:28.024672502473077

width:28.94651719005439  height:27.998039998745078
width:32.92567088005162  height:28.027863604200483
width:30.846254252776486  height:28.038669630897335

width:29.289655247360518  height:28.017110834843624
width:35.54002636965178  height:27.984359362376512
width:33.601608289560616  height:28.121648049126375

width:28.509706899442097  height:27.996109990189346
width:26.808989909957546  height:28.013520411891466
width:23.489106923828743  height:27.80126451591072

width:28.236176848046643  height:27.99659999344933
width:32.50178397081838  height:27.952111715259885
width:30.041885170390046  height:27.94643441731662

width:27.68528429422608  height:27.992349925383593
width:24.548022055998633  height:28.00992016269938
width:31.399998863177256  height:28.119089714031762

width:27.984215474539003  height:27.998829999733065
width:21.093557649991325  height:28.019621258792416
width:30.300976685348203  height:28.017300862965747

width:27.92031158178874  height:28.012470323185216
width:27.228331354016078  height:28.049560266093813
width:31.382262636319094  height:27.95970910687802

width:28.163716785555764  height:28.002140001633393
width:27.42111255348443  height:28.019681270376473
width:29.521652224806708  height:27.969035053791497

width:29.08751573723836  height:27.997519997457832
width:24.5003392350483  height:27.99312994595942
width:34.66881221116674  height:27.995639986186344

width:28.887871776623886  height:28.015580630313167
width:24.858450589400515  height:28.051703007755872
width:28.44856593650391  height:27.97900845867

width:27.74027551016319  height:27.995339983134198
width:31.084668357528145  height:27.991729905731464
width:30.09197441407993  height:28.00363000797203

width:28.362202098184525  height:28.005350025521764
width:30.31167189752398  height:27.99298994258784
width:28.14562405162508  height:27.995089980271516

width:26.499363517468847  height:27.997629997781324
width:20.090257621135468  height:27.97662787266078
width:31.468359094334087  height:28.03649809840055

width:28.155338869351404  height:28.00451001528899
width:30.095093850964535  height:28.00991016220784
width:32.97157116563932  height:28.015140578404086

width:27.68127358966016  height:27.983729282177354
width:34.65036297016353  height:27.98597954069935
width:32.36720255093988  height:28.01020017686892

width:27.04374981721582  height:28.00873011089019
width:30.42994311883443  height:28.03467694602554
width:28.386979339725073  height:27.888470065979128

width:28.688584323081937  height:27.998299999181167
width:27.24580020056984  height:28.029244166768958
width:23.843831460991964  height:28.000580000032517

width:28.755162018876142  height:28.001100000221832
width:30.246876737092414  height:28.009070124357617
width:22.688124658631303  height:28.06250061995178

width:27.341433222774903  height:28.015800657393537
width:33.36114426914193  height:27.98086883318607
width:21.890707464159114  height:27.982979178261363

width:28.720848213145533  height:28.019301198198484
width:30.713277114724345  height:27.983629268859893
width:23.558001915594364  height:28.02684322264099

width:26.75319655310725  height:28.004170012085297
width:24.567006057610637  height:28.018341028144242
width:25.926100144847293  height:27.98224906792542

width:29.169512363919303  height:28.011200234156135
